ID,Codigo de grupo,Nombre de grupo,Lider,Avalado,Estado,Calificado,Programa nacional,Programa nacional secundario,Programa tipo
230,COL0078679,"CIB-CENTRO DE INVESTIGACIONES BIOMEDICAS",FERNANDO MANZUR JATTIN,4 de 12,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
231,COL0133341,"Applied NeuroScience",HANS CARMONA VILLADA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
232,COL0103398,"GINUMED",DILIA ESTHER APARICIO MARENCO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
233,COL0054696,"Grupo de investigaciones en Biotecnologia",HOMERO GABRIEL SAN JUAN VERGARA,5 de 8,Categoría A1,Convocatoria 833 de 2018,"Biotecnología","Ciencia, Tecnología e Innovación en Salud",Salud.
234,COL0015983,"Salud Mental",NATALIA TRUJILLO ORREGO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
235,COL0037256,"GRUPO DE INVESTIGACIÓN DE FARMACOEPIDEMIOLOGIA Y FARMACOVIGILANCIA",JORGE ENRIQUE MACHADO ALBA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
236,COL0033032,"Grupo de Investigación y Proyección Social en Ciencias de la Salud",FRANCY LICET VILLAMIZAR GOMEZ,3 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
237,COL0060058,"Grupo Malformaciones Congenitas y Perinatales,Genetica Medica y  Dismorfología, UV-HUV",WILMAR SALDARRIAGA GIL,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
238,COL0038594,"INNOVACION TECNOLOGICA Y SALUD",RODOLFO VEGA LLAMAS,3 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones",Salud.
239,COL0064208,"Endocrinología y Nutrición Básica",JORGE EDUARDO CAMINOS PINZON,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
240,COL0132389,"PROMETEUS & BIOMEDICINA APLICADA A LAS CIENCIAS CLÍNICAS",AMILETH SUAREZ CAUSADO,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
241,COL0100636,"Inmunología y Medicina Traslacional",CARLOS ALBERTO PARRA LOPEZ,3 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
242,COL0107127,"INUB-MEDITECH",ANDRES MARIANO RUBIANO ESCOBAR,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
243,COL0049032,"Cuidado para la salud cardiorrespiratoria",MAGDA LUCIA FLOREZ FLOREZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
244,COL0047449,"Salud y Comunidad",JAIME CARMONA FONSECA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
245,COL0084256,"Medicina del Adulto",LUIS FERNANDO GIRALDO CADAVID,3 de 6,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
246,COL0027456,"Salud y Sociedad",FRANCISCO JAVIER AGUIRRE ECHAVARRIA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
247,COL0043422,"INVESTIGACIONES PEDIATRICAS BOSQUE",NICOLAS IGNACIO RAMOS RODRIGUEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
248,COL0036778,"Fundación Instituto de Inmunología de Colombia-FIDIC",MANUEL ELKIN PATARROYO MURILLO,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
249,COL0033613,"Centro de Investigaciones Clínicas del Magdalena - CIMAC",GUILLERMO TROUT GUARDIOLA,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
250,COL0045285,"Desarrollo social, Salud Publica y Derechos Humanos",PEDRO LEON REYES GASPAR,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
251,COL0024599,"SIB- Salud Integral Bucal  ",MARTHA JULIANA RODRIGUEZ GOMEZ,2 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
252,COL0056199,"INFECCIÓN E INMUNIDAD",JUAN CARLOS SEPULVEDA ARIAS,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
253,COL0003623,"Diseńo y Formulación de Medicamentos, Cosméticos y Afines",OSCAR ALBEIRO FLOREZ ACOSTA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ingeniería","Ciencia, Tecnología e Innovación en Salud",Salud.
254,COL0024104,"Grupo Epidemiología y Salud Poblacional",FABIAN MENDEZ PAZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
255,COL0070528,"Epidemiologia y Evaluacion en Salud Publica",FERNANDO DE LA HOZ RESTREPO,1 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
256,COL0102748,"Biología y Clínica",JUAN CARLOS ARANGO VIANA,1 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
257,COL0050051,"Grupo de investigación en educación y salud-GINEYSA",CATALINA ESTRADA GONZALEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
258,COL0060942,"Nefrologia",GUSTAVO AROCA MARTINEZ,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
259,COL0063855,"Grupo de Equidad en Salud",JAVIER HERNANDO ESLAVA SCHMALBACH,2 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
260,COL0040189,"Microbiología Ambiental",ASTRID MILENA BEDOYA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
261,COL0152347,"Interacciones Moleculares Microbianas",ADRIANA JIMENA BERNAL,1 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
262,COL0034479,"Radiología",DIEGO ANDRES AGUIRRE MATALLANA,3 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
263,COL0061672,"Sistemas  multisensoriales y reconocimiento de patrones (GISM) ",CRISTIAN MANUEL DURAN ACEVEDO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ingeniería","Ciencia, Tecnología e Innovación en Salud",Salud.
264,COL0107575,"Enfermedades Crónicas del Adulto",OSCAR MAURICIO MUNOZ VELANDIA,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
265,COL0056968,"Bioquímica y Biología Molecular de las Micobacterias",CARLOS YESID SOTO OSPINA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
266,COL0040458,"Salud-Comunid-UDES SCU",RUTH ARALI MARTINEZ VEGA,3 de 5,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
267,COL0067086,"Inmunologia Evolutiva e Inmunogenetica",LUIS FERNANDO CADAVID GUTIERREZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
268,COL0030193,"CUERPO, SUJETO Y EDUCACION",EDWIN ARCESIO GOMEZ SERNA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
269,COL0090244,"CINBIOS",AUGUSTO MIGUEL TORRES JIMENEZ,2 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Agropecuarias",Salud.
270,COL0060361,"SALUD PÚBLICA E INFECCIÓN",GUILLERMO LAGOS GRISALES,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
271,COL0044555,"Medicina Comunitaria y Salud Colectiva",ALEXANDRA PORRAS RAMIREZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
272,COL0029379,"CUIDAR",DOLLY ORFILIA ARIAS TORRES,2 de 5,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
273,COL0031243,"Salud Pública y Epidemiología del Cáncer",DEVI NEREIDA PUERTO JIMENEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
274,COL0074661,"Promoción y Prevención Farmacéutica",PEDRO AMARILES MUNOZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
275,COL0128609,"GRUPO DE INVESTIGACIÓN EN FOTOQUÍMICA Y FOTOBIOLOGÍA",CARLOS ENRIQUE DIAZ URIBE,1 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
276,COL0036295,"Grupo de investigación en ciencias cardiovasculares de la Fundación Cardiovascular de Colombia",LUIS EDUARDO ECHEVERRIA CORREA,4 de 5,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
277,COL0013709,"Micología Médica y Experimental",TONNY WILLIAMS NARANJO PRECIADO,6 de 8,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
278,COL0089529,"ONCOHEMATOLOGIA PEDIATRICA",TERESA ADRIANA LINARES BALLESTEROS,2 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Salud",Salud.
279,COL0033186,"GRUPO INFOVIDA",ELSA MARINA ROJAS GARRIDO,2 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
280,COL0061912,"HISTOPATOLOGIA",INES BENEDETTI PADRON,2 de 5,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
281,COL0007551,"Grupo Neuropsicología y Conducta",CARLOS ANDRES TOBON QUINTERO,3 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
282,COL0099642,"Grupo de Investigación Biomédica",ISABELLA ECHEVERRI JIMENEZ,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
283,COL0068609,"GIINCO. Grupo Internacional de Investigación Neuro-Conductual.",ERNESTO BARCELO MARTINEZ,4 de 6,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
284,COL0103683,"Diabetes, enfermedades metabolicas y cardiovasculares",JECENIA VIDAL MARTINEZ,3 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
285,COL0076521,"GRUPO DE INVESTIGACION EN PSICOLOGIA - GIPSI",EDGAR ALFONSO ACUNA BERMUDEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
286,COL0009215,"Grupo de Investigación Médica",SANDRA CONSTANZA CANON BUITRAGO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
287,COL0020016,"Grupo de Investigación en Crecimiento y Desarrollo Craneofacial",LAILA YANED GONZALEZ BEJARANO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
288,COL0010207,"Grupo de Investigación en Psicología y Salud",OSCAR MAURICIO AGUILAR MEJIA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
289,COL0104475,"Fundacion IFARMA",CLAUDIA MARCELA VARGAS PELAEZ,2 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
290,COL0000935,"Bioingeniería, análisis de seńales y procesamiento de imágenes",LEONARDO FLOREZ VALENCIA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
291,COL0016944,"Grupo de Investigación Biomédica Traslacional",MELVIN YESID RINCON ACELAS,3 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
292,COL0015778,"SALUD COLECTIVA",EDSON JAIR OSPINA LOZANO,1 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
293,COL0009752,"Grupo de Investigación en Farmacogenética",GLORIA INČS HINCAPIČ LŇPEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
294,COL0070798,"CINPE-Centro de Investigación en Neonatología y Pediatría",HERNANDO BAQUERO LATORRE,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
295,COL0088881,"Salud y Sostenibilidad",YAMILET ARCOS ARANGO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e innovación en Ambiente, Biodiversidad y Hábitat",Salud.
296,COL0068799,"PROSEIM",DANIEL ALFONSO BOTERO ROSAS,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
297,COL0119923,"Grupo de Investigaciones Clinicas-UNAB",ALEJANDRO TELLO HERNANDEZ,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
298,COL0044537,"Clínica y Salud Mental",MARTHA JULIANA VILLEGAS MORENO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
299,COL0063489,"Grupo de Investigaciones Biomédicas UniRemington",ERIKA FRANCISCA GARRIDO ZEA,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
300,COL0004371,"Epidemiología Clínica",JURG NIEDERBACHER VELASQUEZ,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
301,COL0074465,"Cuidado De Enfermeria",GLORIA ELENA LASTRE AMELL,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
302,COL0041089,"Grupo de Investigación   de Enfermería-Everest",MARIA STELLA CAMPOS DE ALDANA,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
303,COL0009064,"Fundación Canguro",NATHALIE CHARPAK HERNANDEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
304,COL0038736,"Enfermedades Infecciosas y Tropicales",RONALD YESID MAESTRE SERRANO,3 de 5,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
305,COL0032409,"Fisioter: Importancia del movimiento en el desarrollo humano",FANNY VALENCIA LEGARDA,3 de 5,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Salud",Salud.
306,COL0050098,"Biociencias",BEATRIZ ELENA VALDES DUQUE,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
307,COL0067469,"Grupo de Investigaciones Microbiológicas - UR (GIMUR)",JUAN DAVID RAMIREZ GONZALEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
308,COL0131688,"Laboratorio de Salud Publica de Bogotá",SANDRA LILIANA GOMEZ BAUTISTA,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
309,COL0023475,"Salud Visual",ANA MARIA AGUDELO GUEVARA,2 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
310,COL0054963,"Grupo de Investigación en Bioinstrumentación e Ingeniería Clínica:  GIBIC",ALHER MAURICIO HERNANDEZ VALDIVIESO,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones",Salud.
311,COL0014298,"PBX Grupo de Investigación en Comunicación, Cultura y Cambio social",YENNY PENA ESCOBAR,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
312,COL0036679,"Grupo de Investigación en Ingeniería Biomédica (GIBEC)",JULIANA VELASQUEZ GOMEZ,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
313,COL0049382,"Grupo de Investigación en Manejo Clínico -CliniUDES-",NYDIA PAOLA RONDON VILLARREAL,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
314,COL0125303,"Investigación INDEC-CES",JOSE FERNANDO ZAPATA BERRUECOS,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
315,COL0002509,"Ciencias Básicas ",YULIANA MARCELA GALLO GARCIA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
316,COL0152543,"Grupo de Investigación en Evaluación de Tecnologías en Salud - IETS",ADRIANA MARIA ROBAYO GARCIA,1 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
317,COL0041929,"Biomateriales y Biotecnología  (BEO)",LUIS ALFONSO ARANA GORDILLO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
318,COL0069231,"Psicología, Ciclo Vital y Derechos",MELBA XIMENA FIGUEROA ANGEL,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
319,COL0001173,"Psicología, familia y redes",DIANA JANNETH LAVERDE GALLEGO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
320,COL0091279,"Grupo de investigación e innovación en políticas y economía en salud",CARLOS HUMBERTO ARANGO BAUTISTA,1 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
321,COL0008755,"Grupo de Investigación en Enfermedades Gastrointestinales, Hepáticas, Biliopancreáticas y Trasplantes",OSCAR ALFREDO BELTRAN GALVIS,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
322,COL0058102,"Grupo de Investigación en Fonoaudiología y Psicología.",PATRICIA ARGUELLO VELEZ,2 de 5,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
323,COL0082859,"GICAEDS",HECTOR REYNALDO TRIANA REINA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
324,COL0111498,"GrIEpiS: Grupo de Investigación en Epidemiología y Servicios",LUIS FERNANDO CRUZ GOMEZ,4 de 11,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
325,COL0055817,"MEDICINA CARDIOVASCULAR Y ESPECIALIDADES DE ALTA COMPLEJIDAD - FUNDACIÓN CLÍNICA SHAIO",FERNAN DEL CRISTO MENDOZA BELTRAN,3 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Salud",Salud.
326,COL0183595,"Centro de Investigaciones Clínicas y Traslacional - CICT - ",HERNAN FELIPE GUILLEN BURGOS,7 de 10,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
327,COL0154637,"Farmacia Asistencial y Farmacología",SAMIR JOSE BOLIVAR GONZALEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
328,COL0110309,"Grupo de Investigación en Electrónica de Alta Frecuencia y Telecomunicaciones (CMUN)",GLORIA MARGARITA VARON DURAN,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación en Salud",Salud.
329,COL0004719,"Evidencia Terapeutica",ROSA HELENA BUSTOS CRUZ,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
330,COL0024632,"Cuidado de Enfermería - UniSabana",PAOLA SARMIENTO GONZALEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
331,COL0001781,"Innovación, Desarrollo, Biotecnología en Salud y Medio Ambiente",JOSE RAFAEL CONSUEGRA MACHADO,5 de 7,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e innovación en Ambiente, Biodiversidad y Hábitat",Salud.
332,COL0006769,"Genética, Regeneración y Cáncer",JEAN PAUL DELGADO CHARRIS,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
333,COL0120245,"Gestión Hospitalaria y Políticas de Salud -GPS",DAVID JERVIS SCOTT,3 de 6,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
334,COL0050229,"Grupo de Investigación en Ciencias Biomédicas",MARTHA LILIANA TRUJILLO GÜIZA,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
335,COL0057079,"BIOINGENIERIA ",ANDRES FELIPE RUIZ OLAYA,2 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones",Salud.
336,COL0014009,"Bioquímica Experimental y Computacional",JHON JAIRO SUTACHAN RUBIO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
337,COL0002546,"Investigación en Salud Oral",GRETEL GONZALEZ COLMENARES,2 de 3,Categoría A,Convocatoria 833 de 2018,"No Aplica","Ciencia, Tecnología e Innovación en Salud",Salud.
338,COL0089279,"Grupo de Investigación en Imágenes Médicas Sura",JORGE MARIO VELEZ ARANGO,2 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ingeniería",Salud.
339,COL0130878,"Grupo de Investigación en Cáncer IDC",LUIS RODOLFO GOMEZ WOLFF,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
340,COL0137233,"Grupo de Investigación en Entrenamiento, Músculo, Inmunidad Innata y Enfermedades del Pulmón; Grupo EMICON",MAURICIO OROZCO-LEVI,3 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
